PUBCHEM_SID,PUBCHEM_CID,SMILES_ISO,PUBCHEM_ACTIVITY_OUTCOME,Phenotype (0-10 = Low Permeability; 10-100 = Moderate Permeability; >100 = High Permeability),Permeability,Compound QC
170465224,54685047,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,Inactive,Low,1,QC'ed NCATS
50124620,15571694,CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,Inconclusive,N/F,N/F,QC'ed NCATS
50125355,24871224,CC[C@H]1CN2CCC3CC(C(CC3[C@@H]2C[C@@H]1C[C@@H]4C5=C(CCN4)CC(=C(C5)OC)O)OC)OC,Active,High,152.85,QC'ed NCATS
144206281,15559221,CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CCC(=O)CC3C(=O)N[C@H](C(=O)OC([C@@H](C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CC6=CC=CC=C6)C,Inconclusive,N/F,N/F,QC'ed NCATS
56431688,25109905,C1=CC=C(C=C1)CCN2C=CC3=C(C2=N)C(C4=C(O3)C=CC5=CC=CC=C54)C6=CC=CC=C6,Active,High,552.54,QC'ed NCATS
57288372,25181364,C1=CNC(=O)C(=C1C2=CC=NC=C2)N,Inactive,Low,3.1,QC'ed NCATS
57288373,25181365,C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,Active,High,612.64,QC'ed NCATS
57288374,25181366,CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,Active,High,115.69,QC'ed NCATS
57288375,25181367,CN(C)C(=O)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,Active,Moderate,12.06,QC'ed NCATS
124893772,24180125,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5,Active,High,239,QC'ed NCATS
170466021,2515,CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC,Active,Moderate,10.73,QC'ed NCATS
89650096,44142148,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)S(=O)(=O)C,Active,Moderate,93.94,QC'ed NCATS
104223957,2921716,CCC(=O)NC(C1=CC=CS1)C2=CC(=C3C=CC=NC3=C2O)[N+](=O)[O-],Active,Moderate,36.3,QC'ed NCATS
144206859,71900,CC1=NC(=CN1C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,Moderate,27.89,QC'ed NCATS
57288397,9795907,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,Inactive,Low,1,QC'ed NCATS
124894352,644241,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Active,High,676.03,QC'ed NCATS
87677813,44144342,CS(=O)(=O)C1=CC=CC=C1C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,Moderate,11.87,QC'ed NCATS
87677814,44144356,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CN=CC=C3,Active,Moderate,23.25,QC'ed NCATS
87677817,44144352,CC1=C(C(=NO1)C)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,Moderate,58.86,QC'ed NCATS
87677820,44144360,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)N,Active,Moderate,86.85,QC'ed NCATS
99367903,46907660,CC(=O)NC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Inactive,Low,1,QC'ed NCATS
87677825,44144364,CN(C)C(=O)C1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,Moderate,30.53,QC'ed NCATS
99367907,46907760,CS(=O)(=O)C1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,Moderate,74.04,QC'ed NCATS
87677828,44143157,CS(=O)(=O)C1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,Moderate,49.14,QC'ed NCATS
124894559,44341401,C1CC12CN(C[C@@H]2N)C3=C(C=C4C(=C3Cl)N(C=C(C4=O)C(=O)O)C5C[C@@H]5F)F,Inactive,Low,1,QC'ed NCATS
85267344,44246403,CCCN1CC2=C(NC1)N(C(=S)NC2=O)CC3=CC(=C(C=C3)OC)OC,Active,Moderate,55.05,QC'ed NCATS
89449681,44820665,C1CN(CCN1)C2=CC(=O)N3C(=N2)SC(=N3)C4=CC(=CC=C4)NC(=O)CN,Inactive,Low,1,QC'ed NCATS
104224103,49852946,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCC(=O)NC4=CC=CC(=C4)C(=O)O,Inactive,Low,1,QC'ed NCATS
99367914,46907723,CN(C)C(=O)C1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,Active,High,583.14,QC'ed NCATS
99367917,46907697,C1CN(CCC1C(=O)N2CCOCC2)C3=NC(=CS3)C4=CC=C(C=C4)Br,Active,High,235.65,QC'ed NCATS
99367918,46907661,C1CN(CCC1C(=O)N2CCNCC2)C3=NC(=CS3)C4=CC=C(C=C4)Br,Active,High,483.74,QC'ed NCATS
99367922,46907713,C1CN(CCC1C(=O)N)C2=NC=C(S2)Br,Inconclusive,N/F,N/F,QC'ed NCATS
99367923,46907712,C1CN(CCC1C(=O)N)C2=NC=C(C=N2)Br,Active,Moderate,61.52,QC'ed NCATS
99367924,46907729,C1CN(CCC1C(=O)N)C2=NC=CC(=N2)Cl,Active,Moderate,37.26,QC'ed NCATS
99367927,46907727,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)N,Active,Moderate,87.13,QC'ed NCATS
99367928,46907680,COC1=C(C=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N)OC,Active,High,270.33,QC'ed NCATS
99367929,46907669,COC1=CC(=CC(=C1OC)OC)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,High,256.61,QC'ed NCATS
99367935,46907689,CC(C)OC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,High,>1000,QC'ed NCATS
99367945,46907667,CC(C)(C)OC(=O)NC1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,Inconclusive,N/F,N/F,QC'ed NCATS
99367950,46907737,CC(=O)N1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,Active,High,995.19,QC'ed NCATS
99367951,46907724,C1CN(CCC1N)C2=NC(=CS2)C3=CC=C(C=C3)Br,Active,High,>1000,QC'ed NCATS
99367952,46907754,C1CN(CCC1C2=NNN=N2)C3=NC(=CS3)C4=CC=C(C=C4)Br,Active,High,140.63,QC'ed NCATS
99367953,46907674,CC(=O)NC1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,Active,High,788.57,QC'ed NCATS
99367954,46907688,C1CN(CCN1C2=NC(=CS2)C3=CC=C(C=C3)Br)C(=O)C4=CC=CO4,Inactive,Low,4.09,QC'ed NCATS
99367955,46907709,C1CN(CCN1C2=NC(=CS2)C3=CC=C(C=C3)Br)C(=O)C4=CC=CC=C4,Active,High,742.65,QC'ed NCATS
99367957,46907730,CS(=O)(=O)N1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,Inconclusive,N/F,N/F,QC'ed NCATS
99367958,46907747,C1CN(CCN1C2=NC(=CS2)C3=CC=C(C=C3)Br)C(=O)N,Active,High,958.15,QC'ed NCATS
109967254,135422895,CN=C1CN=C(C2=C(N1)C=CC(=C2)Cl)C3=CC=CN3,Active,High,353.63,QC'ed NCATS
124896721,9967941,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=NC=CN=C4C=C3,Active,High,512.21,QC'ed NCATS
174316142,44246499,CN1C2=C(C3=C1C(=O)N(N=C3)CC4=CC(=CC=C4)N)SC(=C2)S(=O)C,Active,High,106.04,QC'ed NCATS
104224195,1005314,C1=CC(=CC(=C1)N2C=CC=C2/C=C/3\C(=O)N(C(=O)N3)C4=CC(=CC=C4)Cl)C(=O)O,Inactive,Low,3.96,QC'ed NCATS
124898752,20969430,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4,Active,High,429.24,QC'ed NCATS
104224196,49853075,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F,Active,High,586.64,QC'ed NCATS
99367971,46907657,C1CN(CCC1C(=O)N)C2=NC=C(S2)C3=CC(=CC=C3)N4CCOCC4,Active,High,374.17,QC'ed NCATS
99367974,46907671,C1COC2=C(C=C(C=C2)C3=CC(=NC=N3)N4CCC(CC4)C(=O)N)OC1,Active,Moderate,37.05,QC'ed NCATS
99367980,46907666,C1COC2=C(C=C(C=C2)C3=CN=C(S3)N4CCC(CC4)C(=O)O)OC1,Active,Moderate,10.1,QC'ed NCATS
99367982,46907678,COC1=C(C=C(C=C1)C2=CN=C(S2)N3CCC(CC3)C(=O)N)OC,Active,High,335.88,QC'ed NCATS
99367985,23729147,C1CN(CCC1COC2=CC=CC3=C2C(=NC(=N3)N)N)CC4=CC=CC=C4F,Active,High,937.63,QC'ed NCATS
99367991,46907746,C1COC2=C(C=C(C=C2)C3=NN=C(S3)N4CCC(CC4)C(=O)N)OC1,Active,Moderate,83.85,QC'ed NCATS
104224257,11551001,CC1=CSC2=C1C(=O)N(C(=O)N2CC3=CC=CC=C3)O,Active,High,115.82,QC'ed NCATS
174007035,24978538,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,Inactive,Low,1.1,QC'ed NCATS
104224268,49853131,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC=C(C=C3)N,Active,High,717.19,QC'ed NCATS
104224270,701529,C1=CC=C(C=C1)CCN2C3=CC=CC=C3NC2=S,Active,High,125.79,QC'ed NCATS
174006739,107970,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,Inactive,Low,5.3,QC'ed NCATS
90945016,44968250,CCOC(=O)C1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NCCC4=CN=CN4,Active,High,>1000,QC'ed NCATS
89650115,39886486,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)N(C(=O)N4C)C,Active,High,306.35,QC'ed NCATS
89650116,44825300,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC4=C(C=C3)NC(=O)C4,Active,Moderate,40.48,QC'ed NCATS
89650119,44825303,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)N4,Inactive,Low,1,QC'ed NCATS
174006431,10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,Active,High,130.72,QC'ed NCATS
103061644,49787080,CN(C)[C@@H]1CCN(C1)C2=CC=CC(=C2)NC3=NN4C(=O)C5=CC=CC=C5N=C4S3,Active,High,124.75,QC'ed NCATS
99431323,46926046,CC1=C(C(N=C(N1)NC2=NC3=CC=CC=C3O2)C4=CC=CC=C4Br)C(=O)NC5=CC=CC=C5Cl,Inconclusive,N/F,N/F,QC'ed NCATS
174006342,49852229,C1=CC(=C(C=C1NC(=O)NC2=NN=C(S2)C3=CC=NC=C3)C(F)(F)F)F,Active,Moderate,38.53,QC'ed NCATS
134225063,2806493,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC(=C3)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
99380797,46916190,CCNC(=O)C1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NCC4CCCO4,Active,High,145.79,QC'ed NCATS
99431338,46926057,CC1=C(C(N=C(N1)NC2=NC3=CC=CC=C3O2)C4=CC=CC=C4Br)C(=O)NC5=NN=CS5,Active,High,127.54,QC'ed NCATS
110167679,46916310,C1CC(C2=C(C1)N(N=C2)C3=C(C=C(C=C3)F)F)NC(=O)C4=CC=CC=C4,Active,High,>1000,QC'ed NCATS
99381597,46916317,CN(C)CC(=O)NC1CCCC2=C1C=NN2C3=C(C=C(C=C3)F)F,Active,High,412.35,QC'ed NCATS
104224451,49853209,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=CC=CC(=C3)C(F)(F)F)C,Active,High,592.51,QC'ed NCATS
104224452,49852856,C1CN(CCN1C2=CC=C(C=C2)C(F)(F)F)C(=S)NC3=CC=CC=N3,Active,High,814.62,QC'ed NCATS
104224455,49853100,COC(=O)C1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC=CC(=C3)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
104224460,49852823,C1CN(CCN1C2=CC=CC(=C2)C(F)(F)F)C(=S)NC3=NC=CC4=CC=CC=C43,Inconclusive,N/F,N/F,QC'ed NCATS
99431355,46926073,CC1=C(C2(CCCC2)N=C(N1)NC3=NC4=CC=CC=C4O3)C(=O)NC5=NN=CS5,Inactive,Low,1,QC'ed NCATS
99431360,46926078,CC1=C(C(N=C(N1)NC2=NC3=CC=CC=C3O2)C4=NN(C=C4Cl)C)C(=O)NC5=NN=CS5,Active,High,>1000,QC'ed NCATS
99431362,46926080,CC1=C(C(N=C(N1)NC2=NC3=CC=CC=C3O2)C4=C(C=NN4)Cl)C(=O)NC5=NN=CS5,Active,Moderate,37.05,QC'ed NCATS
134225083,56593329,COC1=CC=CC=C1C(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC(=C3)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
124949384,42376812,CC1=CC(=C(C=C1)C(=O)N2CCC3=C(C(=CC(=O)N3CC2)OC)C(=O)N(C)CC4=CSC=N4)C,Inactive,Low,9.91,QC'ed NCATS
174006567,53398697,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C,Inactive,Low,1,QC'ed NCATS
174006470,3038525,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl,Active,High,866.36,QC'ed NCATS
124950268,9563318,C1=CC=NC(=C1)SC2=CC=C(O2)/C=N/NC(=O)C3=CC=NC=C3,Active,Moderate,76.82,QC'ed NCATS
99460881,46947865,C1CC(C2=C(C1)N(N=C2)C3=C(C=C(C=C3)F)F)NC(=O)C4=CC=C(C=C4)C5(N=N5)C(F)(F)F,Inactive,Low,1,QC'ed NCATS
137275846,9803963,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,Active,High,519.78,QC'ed NCATS
104224707,49853287,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)Cl)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
104224708,49853141,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C(F)(F)F)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
104224756,49853203,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=CC=NC=C3)C,Active,High,450.18,QC'ed NCATS
124398509,49853134,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=C3)F)F)C,Active,High,>1000,QC'ed NCATS
104224779,49853294,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)CC3=CC(=CC=C3)C(F)(F)F)C,Inconclusive,N/F,N/F,QC'ed NCATS
104224790,49853266,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=C3)C(F)(F)F)[N+](=O)[O-])C,Inconclusive,N/F,N/F,QC'ed NCATS
104224801,49853005,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=CC(=NC4=CC=CC=C43)C(F)(F)F)C,Active,High,>1000,QC'ed NCATS
124950695,24889392,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,Inactive,Low,1,QC'ed NCATS
124950697,11713159,CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,Inconclusive,N/F,N/F,QC'ed NCATS
110167682,50898225,C1CC(C2=C(C1)N(N=C2)C3=CC=C(C=C3)O)NC(=O)C4=CC=CC=N4,Active,High,587.05,QC'ed NCATS
124351203,46902231,CC(=O)NC1=CC=C(C=C1)OCC2=CN(N=N2)CC(=O)C3=CC=C(C=C3)O,Inactive,Low,1,QC'ed NCATS
124391175,53255427,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N(C)C(=O)CC3=CC(=C(C=C3)Cl)Cl,Active,Moderate,48.12,QC'ed NCATS
124391179,53255440,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)NCC3=CC(=C(C=C3)Cl)Cl,Active,Moderate,46.24,QC'ed NCATS
124398537,53257113,C1CN(CCN1C2=CC=CC(=C2)C(F)(F)F)C(=S)NC3=CC4=CC=CC=C4C=N3,Inconclusive,N/F,N/F,QC'ed NCATS
124398543,53257132,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=CC(=NC4=C3C=C(C=C4)C(F)(F)F)C(F)(F)F)C,Active,High,635.89,QC'ed NCATS
124398555,53257087,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
124398557,53257190,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=C3)Cl)Cl,Active,High,867.73,QC'ed NCATS
124398559,53257196,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=C3)C(F)(F)F)[N+](=O)[O-],Active,High,>1000,QC'ed NCATS
124398561,53257155,CC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)Cl,Active,High,929.9,QC'ed NCATS
124398564,53257119,COC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Active,High,372.51,QC'ed NCATS
124398570,53257126,COC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)Cl,Active,High,>1000,QC'ed NCATS
124398597,53257176,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=C3)C(F)(F)F)Cl)C,Inconclusive,N/F,N/F,QC'ed NCATS
124398604,53257116,CC1=CC(=NC(=C1)NC(=S)N2CCN(CC2)C3=C(C=C(C=C3)Cl)F)C,Active,High,>1000,QC'ed NCATS
137275865,14096316,C[C@]12[C@](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,Inactive,Low,7.06,QC'ed NCATS
134225094,56593314,COC1=CC=CC=C1C(=O)NC2=CC=CC=C2C(=O)NC3=CC(=CC=C3)S(=O)(=O)C(F)(F)F,Inactive,Low,7.6,QC'ed NCATS
124391163,53255421,C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)NC3=NOC=C3,Inactive,Low,9.17,QC'ed NCATS
124391149,53255430,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)F,Active,Moderate,11.51,QC'ed NCATS
124391142,53255396,CC1=CC(=NO1)N[S+](=O)(C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)F)F)[O-],Inactive,Low,6.43,QC'ed NCATS
124391143,53255428,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)F)Cl,Active,Moderate,10.4,QC'ed NCATS
161003873,1001345,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)S(=O)(=O)N)C,Inconclusive,N/F,N/F,QC'ed NCATS
161003874,2964643,CCCCC1CCC(CC1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Active,High,586.55,QC'ed NCATS
124953107,77623,C1CCC2=C(C1)N=C3CCCCC3=N2,Active,High,256.72,QC'ed NCATS
124953136,53277,CC1C(OC2=C(C1=O)C(=C3C(=C2)C(=C(C=C3O)O)C4=C(C=C(C5=C(C6=C(C=C54)OC(C(C6=O)C)C)O)O)O)O)C,Inactive,Low,8.5,QC'ed NCATS
124953174,244989,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N,Inactive,Low,1.95,QC'ed NCATS
124953202,72512,CC1=C2C=CN=CC2=C(C3=C1NC4=C3C=C(C=C4)OC)C,Active,High,>1000,QC'ed NCATS
124953220,3430748,COC1C(CC2CN3CCC4=C(C3CC2C1CO)NC5=C4C=CC(=C5)OC)O,Inactive,Low,3.2,QC'ed NCATS
124953227,257275,CC1CCC2C(C3(C1(C=CC3=O)O)C)OC(=O)C2=C,Active,Moderate,64.64,QC'ed NCATS
124953244,70346,CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2,Inactive,Low,1.71,QC'ed NCATS
124953250,135454041,C1=CN(C2=C1C(=O)NC=N2)C3C(C(C(O3)CO)O)O,Inactive,Low,3.01,QC'ed NCATS
124953298,5236119,C1=CC(=CC=C1NC2=CC=NC=C2)NC(=O)C3=C(C=C(C=C3)NC4=C5C=C(C=CC5=NC=C4)[N+](=O)[O-])[N+](=O)[O-],Inconclusive,N/F,N/F,QC'ed NCATS
124953668,67183,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2,Inactive,Low,1,QC'ed NCATS
363677164,127030712,C1CN(CCN(C1)C2=CC3=C(C=CC(=C3N=C2)O)C(=O)O)CCC4=CC=CC5=CC=CC=C54,Active,High,973.87,QC'ed NCATS
124954152,4887233,CC1=NN(C2=C1C(=C(C(=N2)N)C#N)C3=CC(=C(C=C3)O)OC)C4=CC=C(C=C4)F,Active,High,>1000,QC'ed NCATS
144116861,60167808,CC(C)(C1=CC=C(C=C1)C2=CC(=CC=C2)C(F)(F)F)NC3=NC(=NC4=CC=CC=C43)C5=CC=CC=C5C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
161003882,17374028,CC1=C2C(=CC=C1)C(=CC(=N2)C3=CC(=C(C=C3)C)C)C(=O)NC4=CC=C(C=C4)S(=O)(=O)N,Inconclusive,N/F,N/F,QC'ed NCATS
124391224,53255392,C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)NC3=NN=CS3,Inactive,Low,1.5,QC'ed NCATS
124391232,53255407,C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)NC3=CN=CN=C3,Inactive,Low,1.5,QC'ed NCATS
124954998,136141525,CC1=NN(C2=NC=CC(=C12)C3=CC(=C(C=C3)O)OC)C4=CC=C(C=C4)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
124954999,136141526,CC1=NN(C2=NC=CC(=C12)C3=CC(=C(C=C3)O)OC)C4=CC=CC(=C4)C(F)(F)F,Active,Moderate,93.13,QC'ed NCATS
124955158,7427,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,Inconclusive,N/F,N/F,QC'ed NCATS
377020363,44449050,C1CNCCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl,Active,High,806.93,QC'ed NCATS
377020500,24808465,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC=C(N4C3=NC=N4)C5=CC=C(C=C5)C(=O)N,Active,High,747.18,QC'ed NCATS
124955473,9911830,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,Active,High,327.98,QC'ed NCATS
124955474,16747388,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C4C=NN(C4=NC(=N3)C5=CN=CC=C5)C,Active,High,283.27,QC'ed NCATS
137275872,46933992,CC(C)(CCC1=CC=C(C=C1)OCC2=CC(=C3C(=C2)C=CC=N3)C4=CC(=CC=C4)OC(F)F)O,Inconclusive,N/F,N/F,QC'ed NCATS
134225114,56593305,C1=CC=C(C(=C1)C(=O)NC2=CC(=CC=C2)S(=O)(=O)C(F)(F)F)NC(=O)C3=CC=CC=C3OCC(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
134225117,56593345,CCOC1=CC=CC=C1C(=O)NC2=C(C=NC=C2)C(=O)NC3=CC(=CC=C3)S(=O)(=O)C(F)(F)F,Active,Moderate,99.48,QC'ed NCATS
134225120,56593347,CCOC1=CC=CC=C1C(=O)NC2=C(N=CC=C2)C(=O)NC3=CC(=CC=C3)S(=O)(=O)C(F)(F)F,Inactive,Low,8.1,QC'ed NCATS
134225124,56593330,CCOC1=CC=CC=C1C(=O)NC2=CC=CC=C2C(=O)NC3=CC(=CC=C3)S(=O)(=O)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
136889456,57383401,CN1C2=C(C=CC(=C2)C(=O)NCCN3CCCC3)[S@@](=O)C4=CC=CC=C4C1=O,Active,Moderate,94.2,QC'ed NCATS
136889455,57383436,CN1C2=C(C=CC(=C2)C(=O)NCC3=CN=CC=C3)[S@@](=O)C4=CC=CC=C4C1=O,Inconclusive,N/F,N/F,QC'ed NCATS
137275889,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7,Inconclusive,N/F,N/F,QC'ed NCATS
137275890,11155874,C1=CC=C(C=C1)COC2=CC(=CC=C2)SC3=CC(=C(C=C3)CCC(CO)(CO)N)Cl,Active,High,210.49,QC'ed NCATS
137275906,57441923,C[C@@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC[C@H]5C,Active,High,182.08,QC'ed NCATS
174006394,25022668,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=N4)C5=CC=CC=C5)C(=O)O,Active,High,400.32,QC'ed NCATS
137275913,11364421,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Active,High,560.61,QC'ed NCATS
161003917,70789365,C1=CC(=CC=C1C#N)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
161003926,70789373,CC1=C(C=C(C=C1)C2=CSC(=N2)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4)C,Active,Moderate,21.98,QC'ed NCATS
161003930,70789504,C1=CC(=CC=C1C2=CSC(=N2)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4)F,Active,Moderate,10.6,QC'ed NCATS
